ts_code,industry,market,list_date
600489.SH,黄金,主板,20030814
600515.SH,机场,主板,20020806
600519.SH,白酒,主板,20010827
600547.SH,黄金,主板,20030828
600570.SH,软件服务,主板,20031216
600584.SH,半导体,主板,20030603
600585.SH,水泥,主板,20020207
600588.SH,软件服务,主板,20010518
600600.SH,啤酒,主板,19930827
600606.SH,全国地产,主板,19920327
600660.SH,汽车配件,主板,19930610
600674.SH,水力发电,主板,19930924
600690.SH,家用电器,主板,19931119
600732.SH,电气设备,主板,19960816
600741.SH,汽车配件,主板,19960826
600745.SH,半导体,主板,19960828
600754.SH,酒店餐饮,主板,19961011
600760.SH,航空,主板,19961011
600763.SH,医疗保健,主板,19961030
600795.SH,火力发电,主板,19970318
600803.SH,供气供热,主板,19940103
600809.SH,白酒,主板,19940106
600845.SH,软件服务,主板,19940311
600875.SH,电气设备,主板,19951010
600884.SH,电气设备,主板,19960130
600886.SH,水力发电,主板,19960118
600887.SH,乳制品,主板,19960312
600893.SH,航空,主板,19960408
600900.SH,水力发电,主板,20031118
600905.SH,新型电力,主板,20210610
600918.SH,证券,主板,20200603
600919.SH,银行,主板,20160802
600926.SH,银行,主板,20161027
600938.SH,石油开采,主板,20220421
600941.SH,电信运营,主板,20220105
600958.SH,证券,主板,20150323
600989.SH,化工原料,主板,20190516
600999.SH,证券,主板,20091117
601006.SH,铁路,主板,20060801
601009.SH,银行,主板,20070719
601012.SH,电气设备,主板,20120411
601021.SH,空运,主板,20150121
601059.SH,证券,主板,20230201
601066.SH,证券,主板,20180620
601088.SH,煤炭开采,主板,20071009
601100.SH,工程机械,主板,20111028
601111.SH,空运,主板,20060818
601117.SH,建筑工程,主板,20100107
601138.SH,通信设备,主板,20180608
601155.SH,区域地产,主板,20151204
601166.SH,银行,主板,20070205
601169.SH,银行,主板,20070919
601186.SH,建筑工程,主板,20080310
601211.SH,证券,主板,20150626
601216.SH,化工原料,主板,20110222
601225.SH,煤炭开采,主板,20140128
601229.SH,银行,主板,20161116
601236.SH,证券,主板,20190705
601238.SH,汽车整车,主板,20120329
601288.SH,银行,主板,20100715
601318.SH,保险,主板,20070301
601319.SH,保险,主板,20181116
601328.SH,银行,主板,20070515
601336.SH,保险,主板,20111216
601360.SH,互联网,主板,20120116
601377.SH,证券,主板,20101013
601390.SH,建筑工程,主板,20071203
601398.SH,银行,主板,20061027
601600.SH,铝,主板,20070430
601601.SH,保险,主板,20071225
601607.SH,医药商业,主板,19940324
601615.SH,电气设备,主板,20190123
601618.SH,建筑工程,主板,20090921
601628.SH,保险,主板,20070109
601633.SH,汽车整车,主板,20110928
601658.SH,银行,主板,20191210
601668.SH,建筑工程,主板,20090729
601669.SH,建筑工程,主板,20111018
601688.SH,证券,主板,20100226
601689.SH,汽车配件,主板,20150319
601698.SH,电信运营,主板,20190628
601699.SH,煤炭开采,主板,20060922
601728.SH,电信运营,主板,20210820
601766.SH,运输设备,主板,20080818
601788.SH,证券,主板,20090818
601799.SH,汽车配件,主板,20110201
601800.SH,建筑工程,主板,20120309
601808.SH,石油开采,主板,20070928
601816.SH,铁路,主板,20200116
601818.SH,银行,主板,20100818
601838.SH,银行,主板,20180131
601857.SH,石油开采,主板,20071105
601865.SH,玻璃,主板,20190215
601868.SH,建筑工程,主板,20210928
601872.SH,水运,主板,20061201
601877.SH,电气设备,主板,20100121
601878.SH,证券,主板,20170626
601881.SH,证券,主板,20170123
601888.SH,旅游服务,主板,20091015
601898.SH,煤炭开采,主板,20080201
601899.SH,铜,主板,20080425
601901.SH,证券,主板,20110810
601916.SH,银行,主板,20191126
601919.SH,水运,主板,20070626
601939.SH,银行,主板,20070925
601966.SH,汽车配件,主板,20160706
601985.SH,新型电力,主板,20150610
601988.SH,银行,主板,20060705
601989.SH,船舶,主板,20091216
601995.SH,证券,主板,20201102
601998.SH,银行,主板,20070427
603019.SH,IT设备,主板,20141106
603185.SH,电气设备,主板,20181228
603195.SH,家用电器,主板,20200206
603259.SH,化学制药,主板,20180508
603260.SH,化工原料,主板,20171030
603288.SH,食品,主板,20140211
603290.SH,半导体,主板,20200204
603369.SH,白酒,主板,20140703
603392.SH,生物制药,主板,20200429
603486.SH,家用电器,主板,20180528
603501.SH,半导体,主板,20170504
603659.SH,化工原料,主板,20171103
603799.SH,小金属,主板,20150129
603806.SH,塑料,主板,20140905
603833.SH,家居用品,主板,20170328
603882.SH,医疗保健,主板,20170908
603899.SH,文教休闲,主板,20150127
603986.SH,半导体,主板,20160818
603993.SH,小金属,主板,20121009
605117.SH,电气设备,主板,20210420
605499.SH,软饮料,主板,20210527
688005.SH,电气设备,科创板,20190722
688008.SH,半导体,科创板,20190722
688012.SH,半导体,科创板,20190722
688036.SH,通信设备,科创板,20190930
